,onset,trial_type
0,0.0,calculvideo
1,2.4,calculvideo
2,8.7,damier_H
3,11.4,clicDaudio
4,15.0,phraseaudio
5,18.0,clicDvideo
6,20.7,phraseaudio
7,23.7,clicGaudio
8,26.7,clicGvideo
9,29.7,phraseaudio
10,33.0,damier_V
11,35.4,calculaudio
12,39.0,phrasevideo
13,41.7,phrasevideo
14,44.7,calculaudio
15,48.0,calculaudio
16,56.4,phrasevideo
17,59.7,damier_H
18,62.4,clicGaudio
19,69.0,clicDvideo
20,71.4,clicGvideo
21,75.0,phrasevideo
22,83.4,calculaudio
23,87.0,clicDaudio
24,89.7,phraseaudio
25,96.0,damier_V
26,108.0,calculaudio
27,116.7,clicGvideo
28,119.4,phraseaudio
29,122.7,damier_V
30,125.4,calculvideo
31,131.4,phrasevideo
32,135.0,calculaudio
33,137.7,calculaudio
34,140.4,damier_V
35,143.4,clicDaudio
36,146.7,phraseaudio
37,149.4,damier_H
38,153.0,calculvideo
39,156.0,damier_V
40,159.0,phrasevideo
41,162.0,clicDaudio
42,164.4,calculvideo
43,167.7,phrasevideo
44,170.4,clicGaudio
45,173.7,calculaudio
46,176.7,damier_H
47,188.4,damier_H
48,191.7,calculaudio
49,195.0,phrasevideo
50,198.0,calculvideo
51,201.0,calculvideo
52,203.7,damier_V
53,207.0,damier_V
54,210.0,damier_V
55,212.7,clicGvideo
56,215.7,clicGvideo
57,218.7,damier_H
58,221.4,calculvideo
59,224.7,damier_H
60,227.7,clicDvideo
61,230.7,clicDaudio
62,234.0,calculvideo
63,236.7,phraseaudio
64,246.0,phrasevideo
65,248.4,damier_H
66,251.7,calculaudio
67,254.7,clicGaudio
68,257.4,clicGaudio
69,260.4,calculvideo
70,264.0,damier_V
71,266.7,damier_H
72,269.7,damier_H
73,275.4,clicDvideo
74,278.4,damier_V
75,284.4,phraseaudio
76,288.0,phrasevideo
77,291.0,clicDvideo
78,293.4,phraseaudio
79,296.7,phraseaudio
